LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","1",0.0000000000,0.0000000000,444373.5439700000,809465.0968000002,-1.5773185492
"0","2",0.0086277482,0.0098982174,444373.5497900000,809465.0904300000,-1.5821700096
"0","3",0.0172554964,0.0203469125,444373.5556100000,809465.0840600000,-1.5880638361
"0","4",0.0258832446,0.0338342595,444373.5614300000,809465.0776899999,-1.5984306335
"0","5",0.0345109928,0.0457484089,444373.5672500000,809465.0713200000,-1.6066470146
"0","6",0.0431387410,0.0584420132,444373.5730700000,809465.0649500000,-1.6159577370
"0","7",0.0517664892,0.0704176649,444373.5788900000,809465.0585800000,-1.6242630482
"0","8",0.0603942374,0.0833652874,444373.5847100000,809465.0522200000,-1.6339172125
"0","9",0.0690219856,0.0951809125,444373.5905300000,809465.0458500000,-1.6419900656
"0","10",0.0776497339,0.1084629328,444373.5963500000,809465.0394800000,-1.6520882845
"0","11",0.0862774821,0.1194813130,444373.6021700001,809465.0331100000,-1.6589415073
"0","12",0.0949052303,0.1289700342,444373.6079900000,809465.0267400000,-1.6628909111
"0","13",0.1035329785,0.1378405081,444373.6138100000,809465.0203700000,-1.6649518013
"0","14",0.1121607267,0.1464957357,444373.6196300000,809465.0140000000,-1.6656409502
"0","15",0.1207884749,0.1551255841,444373.6254500000,809465.0076300000,-1.6658313274
"0","16",0.1294162231,0.1637872414,444373.6312700000,809465.0012600000,-1.6650656462
"0","17",0.1380439713,0.1725641929,444373.6370900000,809464.9948900000,-1.6634541750
"0","18",0.1466717195,0.1815870928,444373.6429100000,809464.9885200000,-1.6608132124
"0","19",0.1552994677,0.1908761488,444373.6487300000,809464.9821500002,-1.6573710442
"0","20",0.1639272159,0.2005030748,444373.6545500000,809464.9757800000,-1.6531002522
"0","21",0.1725549641,0.2105455940,444373.6603700000,809464.9694200000,-1.6479607821
"0","22",0.1811827123,0.2194785060,444373.6661900000,809464.9630500000,-1.6456458569
"0","23",0.1898104605,0.2281192049,444373.6720100000,809464.9566799999,-1.6451729536
"0","24",0.1984382087,0.2367667927,444373.6778300000,809464.9503100000,-1.6457583904
"0","25",0.2070659569,0.2455141098,444373.6836500000,809464.9439400000,-1.6471997499
"0","26",0.2156937051,0.2541490512,444373.6894700000,809464.9375700000,-1.6475521326
"0","27",0.2243214534,0.2628426057,444373.6952900000,809464.9312000000,-1.6464844942
"0","28",0.2329492016,0.2733886031,444373.7011100000,809464.9248300000,-1.6404198408
"0","29",0.2415769498,0.2862032738,444373.7069300000,809464.9184600000,-1.6309447289
"0","30",0.2502046980,0.3007840215,444373.7127500000,809464.9120900000,-1.6191905737
"0","31",0.2588324462,0.3137895225,444373.7185700001,809464.9057200000,-1.6094589233
"0","32",0.2674601944,0.3242939388,444373.7243800001,809464.8993500000,-1.6034668684
"0","33",0.2760879426,0.3330054577,444373.7302000000,809464.8929900000,-1.6022616625
"0","34",0.2847156908,0.3427806067,444373.7360200000,809464.8866200000,-1.6068568230
"0","35",0.2933434390,0.3541604433,444373.7418400000,809464.8802500000,-1.6142772436
"0","36",0.3019711872,0.3662824593,444373.7476600000,809464.8738800000,-1.6227922440
"0","37",0.3105989354,0.3765128731,444373.7534800000,809464.8675100000,-1.6282898188
"0","38",0.3192266836,0.3868452639,444373.7593000000,809464.8611400002,-1.6339749098
"0","39",0.3278544318,0.3958119150,444373.7651200000,809464.8547700000,-1.6364167929
"0","40",0.3364821800,0.4044569136,444373.7709400000,809464.8484000000,-1.6369626522
"0","41",0.3451099282,0.4130976517,444373.7767600000,809464.8420300002,-1.6374362707
"0","42",0.3537376764,0.4218375044,444373.7825800000,809464.8356600000,-1.6388316154
"0","43",0.3623654246,0.4311621398,444373.7884000000,809464.8292900000,-1.6423686743
"0","44",0.3709931729,0.4400788273,444373.7942200000,809464.8229199999,-1.6446201801
"0","45",0.3796209211,0.4506827952,444373.8000400000,809464.8165500000,-1.6507850885
"0","46",0.3882486693,0.4615380431,444373.8058600000,809464.8101900000,-1.6573728323
"0","47",0.3968764175,0.4710332748,444373.8116800000,809464.8038200000,-1.6613378525
"0","48",0.4055041657,0.4797984674,444373.8175000000,809464.7974500000,-1.6628839970
