LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","1",0.0000000000,0.0000000000,444609.3635600001,809721.0234100000,-1.5422819853
"0","2",0.0064086175,0.0085912432,444609.3571900000,809721.0241200000,-1.5365601778
"0","3",0.0128172351,0.0165252578,444609.3508200000,809721.0248300000,-1.5318827629
"0","4",0.0192258526,0.0261010289,444609.3444500000,809721.0255399999,-1.5247676373
"0","5",0.0256344701,0.0393394170,444609.3380800000,809721.0262500000,-1.5131838322
"0","6",0.0320430876,0.0472863827,444609.3317100000,809721.0269600000,-1.5084844828
"0","7",0.0384517052,0.0542397476,444609.3253400000,809721.0276700000,-1.5057865381
"0","8",0.0448603227,0.0611890028,444609.3189700000,809721.0283800000,-1.5030992031
"0","9",0.0512689402,0.0678663905,444609.3126100000,809721.0290900000,-1.5012238026
"0","10",0.0576775577,0.0754115933,444609.3062400000,809721.0298000000,-1.4972413778
"0","11",0.0640861753,0.0841091539,444609.2998700000,809721.0305100000,-1.4913611412
"0","12",0.0704947928,0.0914556073,444609.2935000001,809721.0312200000,-1.4877694845
"0","13",0.0769034103,0.0979077340,444609.2871300000,809721.0319300002,-1.4885175228
"0","14",0.0833120279,0.1084038959,444609.2807600000,809721.0326400000,-1.4968301058
"0","15",0.0897206454,0.1303082650,444609.2743900000,809721.0333500000,-1.5177760124
"0","16",0.0961292629,0.1448924980,444609.2680200000,809721.0340600000,-1.5308767557
"0","17",0.1025378804,0.1515481844,444609.2616500000,809721.0347600000,-1.5326733589
"0","18",0.1089464980,0.1590184429,444609.2552800000,809721.0354700000,-1.5288348198
"0","19",0.1153551155,0.1654448376,444609.2489100000,809721.0361800002,-1.5293124914
"0","20",0.1217637330,0.1722375740,444609.2425400000,809721.0368900000,-1.5315643549
"0","21",0.1281723505,0.1805336260,444609.2361800000,809721.0376000000,-1.5368325710
"0","22",0.1345809681,0.1908202556,444609.2298100000,809721.0383100000,-1.5448789597
"0","23",0.1409895856,0.1981044613,444609.2234400000,809721.0390200000,-1.5483415127
"0","24",0.1473982031,0.2075067012,444609.2170700000,809721.0397300000,-1.5552213192
"0","25",0.1538068207,0.2144790819,444609.2107000000,809721.0404400000,-1.5579679012
"0","26",0.1602154382,0.2211097223,444609.2043300000,809721.0411499999,-1.5562664270
"0","27",0.1666240557,0.2315839005,444609.1979600000,809721.0418600000,-1.5479816198
"0","28",0.1730326732,0.2427114904,444609.1915900000,809721.0425700000,-1.5388847589
"0","29",0.1794412908,0.2524500920,444609.1852200000,809721.0432800000,-1.5315519571
"0","30",0.1858499083,0.2621965051,444609.1788500001,809721.0439900000,-1.5242087841
"0","31",0.1922585258,0.2722730569,444609.1724800000,809721.0447000000,-1.5164327621
"0","32",0.1986671433,0.2821150247,444609.1661100000,809721.0454100000,-1.5089632273
"0","33",0.2050757609,0.2924623779,444609.1597400000,809721.0461200000,-1.5008393526
"0","34",0.2114843784,0.3004122348,444609.1533800000,809721.0468300000,-1.4961351156
"0","35",0.2178929959,0.3068745523,444609.1470100000,809721.0475400002,-1.4953037500
"0","36",0.2243016135,0.3132836542,444609.1406400000,809721.0482500000,-1.4952249527
"0","37",0.2307102310,0.3203902225,444609.1342700000,809721.0489600000,-1.4982962608
"0","38",0.2371188485,0.3271640117,444609.1279000000,809721.0496700000,-1.5004903078
"0","39",0.2435274660,0.3340944220,444609.1215300000,809721.0503800000,-1.5031285286
"0","40",0.2499360836,0.3411438197,444609.1151600000,809721.0510900000,-1.5060651302
"0","41",0.2563447011,0.3476056628,444609.1087900001,809721.0517900002,-1.5068928003
"0","42",0.2627533186,0.3544890495,444609.1024200000,809721.0525000000,-1.5043807030
"0","43",0.2691619361,0.3641497117,444609.0960500000,809721.0532100000,-1.4971517324
"0","44",0.2755705537,0.3734694049,444609.0896800000,809721.0539200000,-1.4903851748
"0","45",0.2819791712,0.3839351931,444609.0833100000,809721.0546300000,-1.4821109772
"0","46",0.2883877887,0.3904747813,444609.0769400000,809721.0553400000,-1.4834132195
"0","47",0.2947964062,0.3996002388,444609.0705800000,809721.0560500000,-1.4769167900
"0","48",0.3012050238,0.4062949560,444609.0642100000,809721.0567599999,-1.4749805927
"0","49",0.3076136413,0.4137057427,444609.0578400000,809721.0574700000,-1.4712591171
"0","50",0.3140222588,0.4216566578,444609.0514700000,809721.0581800002,-1.4665530920
"0","51",0.3204308764,0.4294386728,444609.0451000000,809721.0588900000,-1.4621384144
"0","52",0.3268394939,0.4358867512,444609.0387300000,809721.0596000000,-1.4614261389
"0","53",0.3332481114,0.4424160055,444609.0323600000,809721.0603100000,-1.4626754522
"0","54",0.3396567289,0.4563286806,444609.0259900000,809721.0610200000,-1.4750242233
"0","55",0.3460653465,0.4760529328,444609.0196200000,809721.0617300000,-1.4936783314
"0","56",0.3524739640,0.5125387620,444609.0132500000,809721.0624400000,-1.5295969248
"0","57",0.3588825815,0.5332663327,444609.0068800000,809721.0631499999,-1.5493088961
"0","58",0.3652911990,0.5409551625,444609.0005100000,809721.0638600000,-1.5535571575
"0","59",0.3716998166,0.5475831189,444608.9941500000,809721.0645700000,-1.5518661737
"0","60",0.3781084341,0.5583090068,444608.9877800000,809721.0652800000,-1.5432653427
"0","61",0.3845170516,0.5654472508,444608.9814100000,809721.0659900000,-1.5401214361
"0","62",0.3909256692,0.5728343851,444608.9750400000,809721.0667000000,-1.5364472866
"0","63",0.3973342867,0.5860356548,444608.9686700000,809721.0674100000,-1.5249059200
"0","64",0.4037429042,0.5938099009,444608.9623000000,809721.0681200000,-1.5293068886
"0","65",0.4101515217,0.6002698223,444608.9559300000,809721.0688200000,-1.5284943581
"0","66",0.4165601393,0.6071276836,444608.9495600000,809721.0695300000,-1.5260530710
"0","67",0.4229687568,0.6182464069,444608.9431900000,809721.0702400000,-1.5169670582
"0","68",0.4293773743,0.6284472920,444608.9368200000,809721.0709500000,-1.5090305805
"0","69",0.4357859918,0.6349339460,444608.9304500000,809721.0716600000,-1.5080274343
"0","70",0.4421946094,0.6413436811,444608.9240800001,809721.0723700000,-1.5079077482
"0","71",0.4486032269,0.6478026324,444608.9177100000,809721.0730800000,-1.5071029663
"0","72",0.4550118444,0.6543041946,444608.9113500000,809721.0737900002,-1.5060075521
"0","73",0.4614204620,0.6608226769,444608.9049800000,809721.0745000000,-1.5048158169
"0","74",0.4678290795,0.6683051527,444608.8986100000,809721.0752100000,-1.5009535551
