LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","1",0.0000000000,0.0000000000,443127.0391100000,808453.1397600000,-1.6823208332
"0","2",0.0088705453,0.0088807597,443127.0454800000,808453.1335900000,-1.6827466488
"0","3",0.0177410907,0.0177531072,443127.0518400000,808453.1274100000,-1.6825678349
"0","4",0.0266116360,0.0266282344,443127.0582100000,808453.1212400000,-1.6828529835
"0","5",0.0354821813,0.0354998298,443127.0645800000,808453.1150600000,-1.6829894781
"0","6",0.0443527266,0.0443852149,443127.0709500000,808453.1088900000,-1.6824761629
"0","7",0.0532232720,0.0543951260,443127.0773200000,808453.1027200000,-1.6778380871
"0","8",0.0620938173,0.0640171331,443127.0836900000,808453.0965400002,-1.6741102934
"0","9",0.0709643626,0.0730161472,443127.0900600000,808453.0903700000,-1.6725951433
"0","10",0.0798349080,0.0820857923,443127.0964300000,808453.0841900000,-1.6707051992
"0","11",0.0887054533,0.0909669852,443127.1028000000,808453.0780200000,-1.6711399555
"0","12",0.0975759986,0.1007880247,443127.1091700000,808453.0718499999,-1.6753549576
"0","13",0.1064465439,0.1131866896,443127.1155400001,808453.0656700000,-1.6840175390
"0","14",0.1153170893,0.1226623495,443127.1219100000,808453.0595000000,-1.6873494387
"0","15",0.1241876346,0.1315333710,443127.1282800000,808453.0533199999,-1.6874413490
"0","16",0.1330581799,0.1408557554,443127.1346400000,808453.0471500000,-1.6845742464
"0","17",0.1419287253,0.1507806003,443127.1410100000,808453.0409800000,-1.6801227331
"0","18",0.1507992706,0.1596524930,443127.1473800000,808453.0348000000,-1.6799681187
"0","19",0.1596698159,0.1685289060,443127.1537500000,808453.0286300000,-1.6802908182
"0","20",0.1685403612,0.1774102395,443127.1601200000,808453.0224500000,-1.6807284355
"0","21",0.1774109066,0.1866357643,443127.1664900000,808453.0162800000,-1.6781939268
"0","22",0.1862814519,0.2030352478,443127.1728600000,808453.0101000000,-1.6644005775
"0","23",0.1951519972,0.2295472627,443127.1792300000,808453.0039300000,-1.6394165754
