LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","1",0.0000000000,0.0000000000,444853.4949100000,809298.8183800000,-2.2759666443
"0","2",0.0064352369,0.0066620434,444853.5012800001,809298.8193000000,-2.2776901722
"0","3",0.0128704738,0.0132413852,444853.5076500000,809298.8202200000,-2.2790596485
"0","4",0.0193057106,0.0196793155,444853.5140100000,809298.8211400000,-2.2792458534
"0","5",0.0257409475,0.0267872608,444853.5203800000,809298.8220600000,-2.2822642326
"0","6",0.0321761844,0.0335523431,444853.5267500000,809298.8229800002,-2.2843508720
"0","7",0.0386114213,0.0404283862,444853.5331200000,809298.8239000000,-2.2867732048
"0","8",0.0450466582,0.0481187930,444853.5394900000,809298.8248200000,-2.2909839153
"0","9",0.0514818951,0.0548080923,444853.5458600000,809298.8257400000,-2.2928099632
"0","10",0.0579171319,0.0612907279,444853.5522300000,809298.8266499999,-2.2935924530
"0","11",0.0643523688,0.0678355347,444853.5586000000,809298.8275700000,-2.2923998833
"0","12",0.0707876057,0.0742815521,444853.5649700000,809298.8284900000,-2.2927725315
"0","13",0.0772228426,0.0807168979,444853.5713400000,809298.8294100000,-2.2928099632
"0","14",0.0836580795,0.0871995622,444853.5777100000,809298.8303300000,-2.2920272350
"0","15",0.0900933163,0.0941294150,444853.5840800000,809298.8312500000,-2.2894561291
"0","16",0.0965285532,0.1005888931,444853.5904400000,809298.8321700000,-2.2888970375
"0","17",0.1029637901,0.1070552343,444853.5968100000,809298.8330900000,-2.2895305157
"0","18",0.1093990270,0.1136608486,444853.6031800000,809298.8340100000,-2.2910211086
"0","19",0.1158342639,0.1200970569,444853.6095500000,809298.8349300000,-2.2909092903
"0","20",0.1222695008,0.1265361702,444853.6159200000,809298.8358500000,-2.2906858921
"0","21",0.1287047376,0.1330878116,444853.6222900001,809298.8367700002,-2.2919154167
"0","22",0.1351399745,0.1395240199,444853.6286600000,809298.8376900000,-2.2918035984
"0","23",0.1415752114,0.1459602282,444853.6350300000,809298.8386100000,-2.2916917801
"0","24",0.1480104483,0.1525919121,444853.6414000000,809298.8395300000,-2.2900896072
"0","25",0.1544456852,0.1590288739,444853.6477700000,809298.8404500000,-2.2899405956
"0","26",0.1608809220,0.1654650822,444853.6541400000,809298.8413700000,-2.2898287773
"0","27",0.1673161589,0.1719158274,444853.6605100000,809298.8422899999,-2.2902758121
"0","28",0.1737513958,0.1784078933,444853.6668800000,809298.8432000000,-2.2911329269
"0","29",0.1801866327,0.1848500274,444853.6732400000,809298.8441200000,-2.2914309502
"0","30",0.1866218696,0.1912853732,444853.6796100000,809298.8450400000,-2.2914683819
"0","31",0.1930571064,0.1977774390,444853.6859800000,809298.8459599999,-2.2906112671
"0","32",0.1994923433,0.2043362081,444853.6923500001,809298.8468800000,-2.2918782234
"0","33",0.2059275802,0.2110153864,444853.6987200000,809298.8478000000,-2.2936668396
"0","34",0.2123628171,0.2177468894,444853.7050900000,809298.8487200000,-2.2956418991
"0","35",0.2187980540,0.2241838513,444853.7114600000,809298.8496400000,-2.2957909107
"0","36",0.2252332909,0.2306278255,444853.7178300000,809298.8505600000,-2.2961263657
"0","37",0.2316685277,0.2370812728,444853.7242000000,809298.8514800000,-2.2956418991
"0","38",0.2381037646,0.2435252470,444853.7305700000,809298.8524000000,-2.2953064442
"0","39",0.2445390015,0.2499605914,444853.7369400000,809298.8533200000,-2.2952692509
"0","40",0.2509742384,0.2564045656,444853.7433100000,809298.8542400000,-2.2949337959
"0","41",0.2574094753,0.2628917957,444853.7496800000,809298.8551600000,-2.2941141129
"0","42",0.2638447121,0.2693452429,444853.7560400000,809298.8560800002,-2.2936296463
"0","43",0.2702799490,0.2758115841,444853.7624100000,809298.8570000000,-2.2929961681
"0","44",0.2767151859,0.2822468210,444853.7687800000,809298.8579200000,-2.2929961681
"0","45",0.2831504228,0.2888204132,444853.7751500000,809298.8588400000,-2.2916545868
"0","46",0.2895856597,0.2952686877,444853.7815200000,809298.8597600000,-2.2912447453
"0","47",0.2960208965,0.3017879506,444853.7878900000,809298.8606700000,-2.2902014256
"0","48",0.3024561334,0.3082300847,444853.7942600000,809298.8615900000,-2.2899034023
"0","49",0.3088913703,0.3146670521,444853.8006300000,809298.8625100000,-2.2897541523
"0","50",0.3153266072,0.3211061737,444853.8070000000,809298.8634300000,-2.2899777889
"0","51",0.3217618441,0.3276722289,444853.8133700000,809298.8643500000,-2.2912819386
"0","52",0.3281970810,0.3342863353,444853.8197400000,809298.8652700000,-2.2928097248
"0","53",0.3346323178,0.3410069510,444853.8261100000,809298.8661900000,-2.2947473526
"0","54",0.3410675547,0.3474990169,444853.8324800000,809298.8671100000,-2.2956044674
"0","55",0.3475027916,0.3539553821,444853.8388400000,809298.8680300000,-2.2961263657
"0","56",0.3539380285,0.3604088294,444853.8452100000,809298.8689500000,-2.2956418991
"0","57",0.3603732654,0.3668528036,444853.8515800000,809298.8698700002,-2.2953064442
"0","58",0.3668085022,0.3732907338,444853.8579500000,809298.8707900000,-2.2954926491
"0","59",0.3732437391,0.3797501913,444853.8643200000,809298.8717100000,-2.2949337959
"0","60",0.3796789760,0.3865039666,444853.8706900000,809298.8726300000,-2.2969834805
"0","61",0.3861142129,0.3930062714,444853.8770600001,809298.8735500000,-2.2979149818
"0","62",0.3925494498,0.3994467921,444853.8834300000,809298.8744700000,-2.2981758118
"0","63",0.3989846866,0.4058820289,444853.8898000000,809298.8753899999,-2.2981758118
"0","64",0.4054199235,0.4123259908,444853.8961700000,809298.8763100000,-2.2978405952
"0","65",0.4118551604,0.4188086551,444853.9025400000,809298.8772200000,-2.2970578671
"0","66",0.4182903973,0.4252569296,444853.9089100000,809298.8781400000,-2.2966480255
"0","67",0.4247256342,0.4316921665,444853.9152700000,809298.8790599999,-2.2966480255
"0","68",0.4311608711,0.4381283748,444853.9216400000,809298.8799800000,-2.2967598438
"0","69",0.4375961079,0.4445705199,444853.9280100000,809298.8809000000,-2.2970581055
"0","70",0.4440313448,0.4510239671,444853.9343800000,809298.8818200000,-2.2965736389
"0","71",0.4504665817,0.4574596367,444853.9407500000,809298.8827400000,-2.2964990139
"0","72",0.4569018186,0.4639130840,444853.9471200001,809298.8836600002,-2.2969834805
"0","73",0.4633370555,0.4703591014,444853.9534900000,809298.8845800000,-2.2973561287
"0","74",0.4697722923,0.4768154473,444853.9598600000,809298.8855000000,-2.2968344688
"0","75",0.4762075292,0.4832855380,444853.9662300000,809298.8864200000,-2.2961637974
"0","76",0.4826427661,0.4900740089,444853.9726000000,809298.8873400000,-2.2940025330
"0","77",0.4890780030,0.4966968619,444853.9789700000,809298.8882600000,-2.2924373150
"0","78",0.4955132399,0.5032102760,444853.9853400000,809298.8891800002,-2.2914311886
"0","79",0.5019484767,0.5096637233,444853.9917100000,809298.8901000000,-2.2909467220
"0","80",0.5083837136,0.5162528992,444853.9980700000,809298.8910200000,-2.2895307541
"0","81",0.5148189505,0.5229953376,444854.0044400000,809298.8919400000,-2.2875187397
